algorithm,text_1,text_2,text_1_size,text_2_size,time,space
dpopt,gift_of_the_magi,raven,200,90,435022,3538944
memo,gift_of_the_magi,raven,200,100,8980378,5238784
dp,gift_of_the_magi,raven,200,100,478017,3604480
dpopt,gift_of_the_magi,raven,200,100,410393,3538944
memo,gift_of_the_magi,raven,200,110,9896203,5500928
dp,gift_of_the_magi,raven,200,110,577254,3604480
dpopt,gift_of_the_magi,raven,200,110,498561,3538944
memo,gift_of_the_magi,raven,200,120,10831639,5632000
dp,gift_of_the_magi,raven,200,120,612116,3604480
dpopt,gift_of_the_magi,raven,200,120,470476,3538944
memo,gift_of_the_magi,raven,200,130,13330692,5894144
dp,gift_of_the_magi,raven,200,130,705989,3604480
dpopt,gift_of_the_magi,raven,200,130,536945,3538944
memo,gift_of_the_magi,raven,200,140,13489396,6029312
dp,gift_of_the_magi,raven,200,140,639100,3608576
dpopt,gift_of_the_magi,raven,200,140,535299,3543040
memo,gift_of_the_magi,raven,200,150,16182439,6291456
dp,gift_of_the_magi,raven,200,150,787659,3608576
dpopt,gift_of_the_magi,raven,200,150,668487,3543040
memo,gift_of_the_magi,raven,200,160,16067753,6553600
dp,gift_of_the_magi,raven,200,160,840619,3608576
dpopt,gift_of_the_magi,raven,200,160,687100,3543040
memo,gift_of_the_magi,raven,200,170,16625374,6684672
dp,gift_of_the_magi,raven,200,170,834680,3608576
dpopt,gift_of_the_magi,raven,200,170,722435,3543040
memo,gift_of_the_magi,raven,200,180,17719147,6946816
dp,gift_of_the_magi,raven,200,180,863847,3608576
dpopt,gift_of_the_magi,raven,200,180,729596,3543040
memo,gift_of_the_magi,raven,200,190,18963573,7208960
dp,gift_of_the_magi,raven,200,190,968667,3608576
dpopt,gift_of_the_magi,raven,200,190,760304,3543040
memo,gift_of_the_magi,raven,200,200,19908796,7340032
dp,gift_of_the_magi,raven,200,200,988296,3608576
dpopt,gift_of_the_magi,raven,200,200,744040,3543040
memo,gift_of_the_magi,raven,200,210,20500627,7471104
dp,gift_of_the_magi,raven,200,210,1039008,3608576
dpopt,gift_of_the_magi,raven,200,210,783770,3543040
memo,gift_of_the_magi,raven,200,220,21489656,7733248
dp,gift_of_the_magi,raven,200,220,1087527,3739648
dpopt,gift_of_the_magi,raven,200,220,877847,3543040
memo,gift_of_the_magi,raven,200,230,22466956,7995392
dp,gift_of_the_magi,raven,200,230,1183319,3739648
dpopt,gift_of_the_magi,raven,200,230,907388,3543040
memo,gift_of_the_magi,raven,200,240,23413474,8257536
dp,gift_of_the_magi,raven,200,240,1173684,3739648
dpopt,gift_of_the_magi,raven,200,240,917769,3543040
memo,gift_of_the_magi,raven,200,250,23732470,8654848
dp,gift_of_the_magi,raven,200,250,1193140,3743744
dpopt,gift_of_the_magi,raven,200,250,910721,3547136
memo,gift_of_the_magi,raven,200,260,26514527,8785920
dp,gift_of_the_magi,raven,200,260,1238467,3743744
dpopt,gift_of_the_magi,raven,200,260,1020952,3547136
memo,gift_of_the_magi,raven,200,270,27396934,9048064
dp,gift_of_the_magi,raven,200,270,1215050,3743744
dpopt,gift_of_the_magi,raven,200,270,974679,3547136
memo,gift_of_the_magi,raven,200,280,27557811,9310208
dp,gift_of_the_magi,raven,200,280,1236989,3743744
dpopt,gift_of_the_magi,raven,200,280,1006807,3547136
memo,gift_of_the_magi,raven,200,290,28674576,9572352
dp,gift_of_the_magi,raven,200,290,1310415,3743744
dpopt,gift_of_the_magi,raven,200,290,1057096,3547136
memo,gift_of_the_magi,raven,200,300,28883122,9834496
dp,gift_of_the_magi,raven,200,300,1341547,3743744
dpopt,gift_of_the_magi,raven,200,300,1047483,3547136
memo,gift_of_the_magi,raven,210,10,1071651,3805184
dp,gift_of_the_magi,raven,210,10,106453,3547136
dpopt,gift_of_the_magi,raven,210,10,171994,3547136
memo,gift_of_the_magi,raven,210,20,1716438,3936256
dp,gift_of_the_magi,raven,210,20,147517,3547136
dpopt,gift_of_the_magi,raven,210,20,178078,3547136
memo,gift_of_the_magi,raven,210,30,2798679,4067328
dp,gift_of_the_magi,raven,210,30,218068,3547136
dpopt,gift_of_the_magi,raven,210,30,286332,3547136
memo,gift_of_the_magi,raven,210,40,4297199,4198400
dp,gift_of_the_magi,raven,210,40,322569,3547136
dpopt,gift_of_the_magi,raven,210,40,271000,3547136
memo,gift_of_the_magi,raven,210,50,5291811,4464640
dp,gift_of_the_magi,raven,210,50,311568,3551232
dpopt,gift_of_the_magi,raven,210,50,307437,3551232
memo,gift_of_the_magi,raven,210,60,5947859,4595712
dp,gift_of_the_magi,raven,210,60,371350,3616768
dpopt,gift_of_the_magi,raven,210,60,342492,3551232
memo,gift_of_the_magi,raven,210,70,7393850,4857856
dp,gift_of_the_magi,raven,210,70,438507,3616768
dpopt,gift_of_the_magi,raven,210,70,383326,3551232
memo,gift_of_the_magi,raven,210,80,8473974,4988928
dp,gift_of_the_magi,raven,210,80,474297,3616768
dpopt,gift_of_the_magi,raven,210,80,414981,3551232
memo,gift_of_the_magi,raven,210,90,8972983,5120000
dp,gift_of_the_magi,raven,210,90,520234,3616768
dpopt,gift_of_the_magi,raven,210,90,451797,3551232
memo,gift_of_the_magi,raven,210,100,10158628,5382144
dp,gift_of_the_magi,raven,210,100,569600,3616768
dpopt,gift_of_the_magi,raven,210,100,489665,3551232
memo,gift_of_the_magi,raven,210,110,11169884,5644288
dp,gift_of_the_magi,raven,210,110,538250,3616768
dpopt,gift_of_the_magi,raven,210,110,459022,3551232
memo,gift_of_the_magi,raven,210,120,11436134,5775360
dp,gift_of_the_magi,raven,210,120,616343,3616768
dpopt,gift_of_the_magi,raven,210,120,523728,3551232
memo,gift_of_the_magi,raven,210,130,13529954,6037504
dp,gift_of_the_magi,raven,210,130,696508,3616768
dpopt,gift_of_the_magi,raven,210,130,577867,3551232
memo,gift_of_the_magi,raven,210,140,15088246,6299648
dp,gift_of_the_magi,raven,210,140,751833,3616768
dpopt,gift_of_the_magi,raven,210,140,645466,3551232
memo,gift_of_the_magi,raven,210,150,16333928,6561792
dp,gift_of_the_magi,raven,210,150,819684,3616768
dpopt,gift_of_the_magi,raven,210,150,618822,3551232
memo,gift_of_the_magi,raven,210,160,17427478,6828032
dp,gift_of_the_magi,raven,210,160,843261,3620864
dpopt,gift_of_the_magi,raven,210,160,693511,3555328
memo,gift_of_the_magi,raven,210,170,18221094,6959104
dp,gift_of_the_magi,raven,210,170,913284,3620864
dpopt,gift_of_the_magi,raven,210,170,735352,3555328
memo,gift_of_the_magi,raven,210,180,19317666,7221248
dp,gift_of_the_magi,raven,210,180,948394,3620864
dpopt,gift_of_the_magi,raven,210,180,725685,3555328
memo,gift_of_the_magi,raven,210,190,19721532,7483392
dp,gift_of_the_magi,raven,210,190,940915,3620864
dpopt,gift_of_the_magi,raven,210,190,709208,3555328
memo,gift_of_the_magi,raven,210,200,20815272,7745536
dp,gift_of_the_magi,raven,210,200,1033593,3620864
dpopt,gift_of_the_magi,raven,210,200,839886,3555328
memo,gift_of_the_magi,raven,210,210,21586971,7876608
dp,gift_of_the_magi,raven,210,210,1018604,3751936
dpopt,gift_of_the_magi,raven,210,210,825585,3555328
memo,gift_of_the_magi,raven,210,220,21929895,8138752
dp,gift_of_the_magi,raven,210,220,1065750,3751936
dpopt,gift_of_the_magi,raven,210,220,873896,3555328
memo,gift_of_the_magi,raven,210,230,22731304,8400896
dp,gift_of_the_magi,raven,210,230,1106719,3751936
dpopt,gift_of_the_magi,raven,210,230,889223,3555328
memo,gift_of_the_magi,raven,210,240,24566536,8663040
dp,gift_of_the_magi,raven,210,240,1156490,3751936
dpopt,gift_of_the_magi,raven,210,240,910637,3555328
memo,gift_of_the_magi,raven,210,250,25507410,9056256
dp,gift_of_the_magi,raven,210,250,1239920,3751936
dpopt,gift_of_the_magi,raven,210,250,951247,3555328
memo,gift_of_the_magi,raven,210,260,27646349,9318400
dp,gift_of_the_magi,raven,210,260,1249814,3751936
dpopt,gift_of_the_magi,raven,210,260,1011468,3555328
memo,gift_of_the_magi,raven,210,270,28605823,9453568
dp,gift_of_the_magi,raven,210,270,1343647,3756032
dpopt,gift_of_the_magi,raven,210,270,1076903,3559424
memo,gift_of_the_magi,raven,210,280,29887530,9715712
dp,gift_of_the_magi,raven,210,280,1378585,3756032
dpopt,gift_of_the_magi,raven,210,280,1050320,3559424
memo,gift_of_the_magi,raven,210,290,30296536,9977856
dp,gift_of_the_magi,raven,210,290,1362740,3756032
dpopt,gift_of_the_magi,raven,210,290,1083057,3559424
memo,gift_of_the_magi,raven,210,300,31423566,10371072
dp,gift_of_the_magi,raven,210,300,1384381,3756032
dpopt,gift_of_the_magi,raven,210,300,1116956,3559424
memo,gift_of_the_magi,raven,220,10,1123597,3817472
dp,gift_of_the_magi,raven,220,10,108648,3559424
dpopt,gift_of_the_magi,raven,220,10,225323,3559424
memo,gift_of_the_magi,raven,220,20,1749733,3948544
dp,gift_of_the_magi,raven,220,20,160739,3559424
dpopt,gift_of_the_magi,raven,220,20,190431,3559424
memo,gift_of_the_magi,raven,220,30,3033002,4079616
dp,gift_of_the_magi,raven,220,30,226746,3559424
dpopt,gift_of_the_magi,raven,220,30,229620,3559424
memo,gift_of_the_magi,raven,220,40,4971476,4341760
dp,gift_of_the_magi,raven,220,40,319985,3559424
dpopt,gift_of_the_magi,raven,220,40,271548,3559424
memo,gift_of_the_magi,raven,220,50,6378689,4472832
dp,gift_of_the_magi,raven,220,50,383043,3624960
dpopt,gift_of_the_magi,raven,220,50,367836,3559424
memo,gift_of_the_magi,raven,220,60,6120340,4603904
dp,gift_of_the_magi,raven,220,60,366294,3624960
dpopt,gift_of_the_magi,raven,220,60,327815,3559424
memo,gift_of_the_magi,raven,220,70,7690505,4870144
dp,gift_of_the_magi,raven,220,70,413082,3629056
dpopt,gift_of_the_magi,raven,220,70,400171,3563520
memo,gift_of_the_magi,raven,220,80,8611404,5132288
dp,gift_of_the_magi,raven,220,80,496895,3629056
dpopt,gift_of_the_magi,raven,220,80,465792,3563520
memo,gift_of_the_magi,raven,220,90,9269893,5263360
dp,gift_of_the_magi,raven,220,90,574439,3629056
dpopt,gift_of_the_magi,raven,220,90,507618,3563520
memo,gift_of_the_magi,raven,220,100,10527316,5525504
dp,gift_of_the_magi,raven,220,100,609028,3629056
dpopt,gift_of_the_magi,raven,220,100,540826,3563520
memo,gift_of_the_magi,raven,220,110,11480692,5787648
dp,gift_of_the_magi,raven,220,110,669718,3629056
dpopt,gift_of_the_magi,raven,220,110,581212,3563520
memo,gift_of_the_magi,raven,220,120,12612310,5918720
dp,gift_of_the_magi,raven,220,120,642329,3629056
dpopt,gift_of_the_magi,raven,220,120,543618,3563520
memo,gift_of_the_magi,raven,220,130,14665737,6180864
dp,gift_of_the_magi,raven,220,130,722862,3629056
dpopt,gift_of_the_magi,raven,220,130,603158,3563520
memo,gift_of_the_magi,raven,220,140,17295552,6443008
dp,gift_of_the_magi,raven,220,140,881043,3629056
dpopt,gift_of_the_magi,raven,220,140,674355,3563520
memo,gift_of_the_magi,raven,220,150,18339603,6705152
dp,gift_of_the_magi,raven,220,150,863103,3629056
dpopt,gift_of_the_magi,raven,220,150,652571,3563520
memo,gift_of_the_magi,raven,220,160,18370134,6967296
dp,gift_of_the_magi,raven,220,160,900181,3629056
dpopt,gift_of_the_magi,raven,220,160,746613,3563520
memo,gift_of_the_magi,raven,220,170,18552095,7098368
dp,gift_of_the_magi,raven,220,170,928967,3629056
dpopt,gift_of_the_magi,raven,220,170,759448,3563520
memo,gift_of_the_magi,raven,220,180,19728329,7364608
dp,gift_of_the_magi,raven,220,180,987163,3633152
dpopt,gift_of_the_magi,raven,220,180,806477,3567616
memo,gift_of_the_magi,raven,220,190,21221554,7626752
dp,gift_of_the_magi,raven,220,190,1035024,3764224
dpopt,gift_of_the_magi,raven,220,190,829230,3567616
memo,gift_of_the_magi,raven,220,200,21671639,7888896
dp,gift_of_the_magi,raven,220,200,1072093,3764224
dpopt,gift_of_the_magi,raven,220,200,867458,3567616
memo,gift_of_the_magi,raven,220,210,22139907,8019968
dp,gift_of_the_magi,raven,220,210,1140561,3764224
dpopt,gift_of_the_magi,raven,220,210,896402,3567616
memo,gift_of_the_magi,raven,220,220,23832214,8282112
dp,gift_of_the_magi,raven,220,220,1189538,3764224
dpopt,gift_of_the_magi,raven,220,220,947939,3567616
memo,gift_of_the_magi,raven,220,230,24270761,8544256
dp,gift_of_the_magi,raven,220,230,1259701,3764224
dpopt,gift_of_the_magi,raven,220,230,929579,3567616
memo,gift_of_the_magi,raven,220,240,24738389,8675328
dp,gift_of_the_magi,raven,220,240,1202135,3764224
dpopt,gift_of_the_magi,raven,220,240,961457,3567616
memo,gift_of_the_magi,raven,220,250,25873046,9068544
dp,gift_of_the_magi,raven,220,250,1247318,3764224
dpopt,gift_of_the_magi,raven,220,250,982499,3567616
memo,gift_of_the_magi,raven,220,260,28097926,9330688
dp,gift_of_the_magi,raven,220,260,1344982,3764224
dpopt,gift_of_the_magi,raven,220,260,1032049,3567616
memo,gift_of_the_magi,raven,220,270,29314335,9592832
dp,gift_of_the_magi,raven,220,270,1337512,3764224
dpopt,gift_of_the_magi,raven,220,270,1071499,3567616
memo,gift_of_the_magi,raven,220,280,30311882,9854976
dp,gift_of_the_magi,raven,220,280,1407274,3764224
dpopt,gift_of_the_magi,raven,220,280,1127213,3567616
memo,gift_of_the_magi,raven,220,290,30875870,10121216
dp,gift_of_the_magi,raven,220,290,1428289,3768320
dpopt,gift_of_the_magi,raven,220,290,1128642,3571712
memo,gift_of_the_magi,raven,220,300,32507742,10383360
dp,gift_of_the_magi,raven,220,300,1465310,3768320
dpopt,gift_of_the_magi,raven,220,300,1164981,3571712
memo,gift_of_the_magi,raven,230,10,1148772,3829760
dp,gift_of_the_magi,raven,230,10,121184,3571712
dpopt,gift_of_the_magi,raven,230,10,155273,3571712
memo,gift_of_the_magi,raven,230,20,1797668,3960832
dp,gift_of_the_magi,raven,230,20,239117,3571712
dpopt,gift_of_the_magi,raven,230,20,221223,3571712
memo,gift_of_the_magi,raven,230,30,3081411,4091904
dp,gift_of_the_magi,raven,230,30,225358,3571712
dpopt,gift_of_the_magi,raven,230,30,237999,3571712
memo,gift_of_the_magi,raven,230,40,5010670,4354048
dp,gift_of_the_magi,raven,230,40,289466,3571712
dpopt,gift_of_the_magi,raven,230,40,303198,3571712
memo,gift_of_the_magi,raven,230,50,5709758,4485120
dp,gift_of_the_magi,raven,230,50,350421,3637248
dpopt,gift_of_the_magi,raven,230,50,325268,3571712
memo,gift_of_the_magi,raven,230,60,6383333,4747264
dp,gift_of_the_magi,raven,230,60,390424,3637248
dpopt,gift_of_the_magi,raven,230,60,405595,3571712
memo,gift_of_the_magi,raven,230,70,8154585,5009408
dp,gift_of_the_magi,raven,230,70,476075,3637248
dpopt,gift_of_the_magi,raven,230,70,404010,3571712
memo,gift_of_the_magi,raven,230,80,9223263,5140480
dp,gift_of_the_magi,raven,230,80,489766,3637248
dpopt,gift_of_the_magi,raven,230,80,434880,3571712
memo,gift_of_the_magi,raven,230,90,9802799,5275648
dp,gift_of_the_magi,raven,230,90,571457,3641344
dpopt,gift_of_the_magi,raven,230,90,472564,3575808
memo,gift_of_the_magi,raven,230,100,11080909,5537792
dp,gift_of_the_magi,raven,230,100,600424,3641344
dpopt,gift_of_the_magi,raven,230,100,510941,3575808
memo,gift_of_the_magi,raven,230,110,12052517,5799936
dp,gift_of_the_magi,raven,230,110,680643,3641344
dpopt,gift_of_the_magi,raven,230,110,590608,3575808
memo,gift_of_the_magi,raven,230,120,13276159,6062080
dp,gift_of_the_magi,raven,230,120,717095,3641344
dpopt,gift_of_the_magi,raven,230,120,535982,3575808
memo,gift_of_the_magi,raven,230,130,15154942,6324224
dp,gift_of_the_magi,raven,230,130,764731,3641344
dpopt,gift_of_the_magi,raven,230,130,607145,3575808
memo,gift_of_the_magi,raven,230,140,15747442,6586368
dp,gift_of_the_magi,raven,230,140,777709,3641344
dpopt,gift_of_the_magi,raven,230,140,673762,3575808
memo,gift_of_the_magi,raven,230,150,17397579,6848512
dp,gift_of_the_magi,raven,230,150,804353,3641344
dpopt,gift_of_the_magi,raven,230,150,697566,3575808
memo,gift_of_the_magi,raven,230,160,18590862,7110656
dp,gift_of_the_magi,raven,230,160,928072,3641344
dpopt,gift_of_the_magi,raven,230,160,775787,3575808
memo,gift_of_the_magi,raven,230,170,19432090,7241728
dp,gift_of_the_magi,raven,230,170,996653,3641344
dpopt,gift_of_the_magi,raven,230,170,750676,3575808
memo,gift_of_the_magi,raven,230,180,20320133,7503872
dp,gift_of_the_magi,raven,230,180,990245,3772416
dpopt,gift_of_the_magi,raven,230,180,740676,3575808
memo,gift_of_the_magi,raven,230,190,21092475,7897088
dp,gift_of_the_magi,raven,230,190,1023489,3772416
dpopt,gift_of_the_magi,raven,230,190,836605,3575808
memo,gift_of_the_magi,raven,230,200,21927357,8032256
dp,gift_of_the_magi,raven,230,200,1152409,3776512
dpopt,gift_of_the_magi,raven,230,200,915382,3579904
memo,gift_of_the_magi,raven,230,210,22512892,8163328
dp,gift_of_the_magi,raven,230,210,1114061,3776512
dpopt,gift_of_the_magi,raven,230,210,887682,3579904
memo,gift_of_the_magi,raven,230,220,23709679,8556544
dp,gift_of_the_magi,raven,230,220,1175884,3776512
dpopt,gift_of_the_magi,raven,230,220,945681,3579904
memo,gift_of_the_magi,raven,230,230,24414028,8818688
dp,gift_of_the_magi,raven,230,230,1219616,3776512
dpopt,gift_of_the_magi,raven,230,230,961821,3579904
memo,gift_of_the_magi,raven,230,240,25713048,9080832
dp,gift_of_the_magi,raven,230,240,1306080,3776512
dpopt,gift_of_the_magi,raven,230,240,996239,3579904
memo,gift_of_the_magi,raven,230,250,29565613,9474048
dp,gift_of_the_magi,raven,230,250,1405933,3776512
dpopt,gift_of_the_magi,raven,230,250,1100248,3579904
memo,gift_of_the_magi,raven,230,260,30751640,9605120
dp,gift_of_the_magi,raven,230,260,1399167,3776512
dpopt,gift_of_the_magi,raven,230,260,1071464,3579904
memo,gift_of_the_magi,raven,230,270,29690496,9867264
dp,gift_of_the_magi,raven,230,270,1468534,3776512
dpopt,gift_of_the_magi,raven,230,270,1112492,3579904
memo,gift_of_the_magi,raven,230,280,32191641,10129408
dp,gift_of_the_magi,raven,230,280,1434433,3776512
dpopt,gift_of_the_magi,raven,230,280,1146197,3579904
memo,gift_of_the_magi,raven,230,290,32736589,10391552
dp,gift_of_the_magi,raven,230,290,1537836,3776512
dpopt,gift_of_the_magi,raven,230,290,1228797,3579904
memo,gift_of_the_magi,raven,230,300,33150132,10784768
dp,gift_of_the_magi,raven,230,300,1582870,3776512
dpopt,gift_of_the_magi,raven,230,300,1237381,3579904
memo,gift_of_the_magi,raven,240,10,1140119,3842048
dp,gift_of_the_magi,raven,240,10,122072,3584000
dpopt,gift_of_the_magi,raven,240,10,157149,3584000
memo,gift_of_the_magi,raven,240,20,1838417,3973120
dp,gift_of_the_magi,raven,240,20,169678,3584000
dpopt,gift_of_the_magi,raven,240,20,196121,3584000
memo,gift_of_the_magi,raven,240,30,3108857,4235264
dp,gift_of_the_magi,raven,240,30,237349,3584000
dpopt,gift_of_the_magi,raven,240,30,247512,3584000
memo,gift_of_the_magi,raven,240,40,5370373,4366336
dp,gift_of_the_magi,raven,240,40,302655,3649536
dpopt,gift_of_the_magi,raven,240,40,395624,3584000
memo,gift_of_the_magi,raven,240,50,6032481,4628480
dp,gift_of_the_magi,raven,240,50,398038,3649536
dpopt,gift_of_the_magi,raven,240,50,377264,3584000
memo,gift_of_the_magi,raven,240,60,6832077,4759552
dp,gift_of_the_magi,raven,240,60,436896,3649536
dpopt,gift_of_the_magi,raven,240,60,399255,3584000
memo,gift_of_the_magi,raven,240,70,8596879,5021696
dp,gift_of_the_magi,raven,240,70,505036,3649536
dpopt,gift_of_the_magi,raven,240,70,455780,3584000
memo,gift_of_the_magi,raven,240,80,9812422,5283840
dp,gift_of_the_magi,raven,240,80,524989,3649536
dpopt,gift_of_the_magi,raven,240,80,467804,3584000
memo,gift_of_the_magi,raven,240,90,10417032,5414912
dp,gift_of_the_magi,raven,240,90,571307,3649536
dpopt,gift_of_the_magi,raven,240,90,489298,3584000
memo,gift_of_the_magi,raven,240,100,11788084,5677056
dp,gift_of_the_magi,raven,240,100,608708,3649536
dpopt,gift_of_the_magi,raven,240,100,530180,3584000
memo,gift_of_the_magi,raven,240,110,12930266,5943296
dp,gift_of_the_magi,raven,240,110,673854,3653632
dpopt,gift_of_the_magi,raven,240,110,647107,3588096
memo,gift_of_the_magi,raven,240,120,14332428,6205440
dp,gift_of_the_magi,raven,240,120,717338,3653632
dpopt,gift_of_the_magi,raven,240,120,606881,3588096
memo,gift_of_the_magi,raven,240,130,16693387,6467584
dp,gift_of_the_magi,raven,240,130,817836,3653632
dpopt,gift_of_the_magi,raven,240,130,644615,3588096
memo,gift_of_the_magi,raven,240,140,17707694,6729728
dp,gift_of_the_magi,raven,240,140,865792,3653632
dpopt,gift_of_the_magi,raven,240,140,795867,3588096
memo,gift_of_the_magi,raven,240,150,19165606,7122944
dp,gift_of_the_magi,raven,240,150,884037,3653632
dpopt,gift_of_the_magi,raven,240,150,769061,3588096
memo,gift_of_the_magi,raven,240,160,20075294,7385088
dp,gift_of_the_magi,raven,240,160,1007606,3653632
dpopt,gift_of_the_magi,raven,240,160,802687,3588096
memo,gift_of_the_magi,raven,240,170,20521372,7516160
dp,gift_of_the_magi,raven,240,170,1103797,3784704
dpopt,gift_of_the_magi,raven,240,170,939768,3588096
memo,gift_of_the_magi,raven,240,180,21165297,7778304
dp,gift_of_the_magi,raven,240,180,1061006,3784704
dpopt,gift_of_the_magi,raven,240,180,845234,3588096
memo,gift_of_the_magi,raven,240,190,22260693,8040448
dp,gift_of_the_magi,raven,240,190,1055999,3784704
dpopt,gift_of_the_magi,raven,240,190,863404,3588096
memo,gift_of_the_magi,raven,240,200,22987774,8302592
dp,gift_of_the_magi,raven,240,200,1106987,3784704
dpopt,gift_of_the_magi,raven,240,200,902004,3588096
memo,gift_of_the_magi,raven,240,210,25441613,8564736
dp,gift_of_the_magi,raven,240,210,1207933,3784704
dpopt,gift_of_the_magi,raven,240,210,1142144,3588096
memo,gift_of_the_magi,raven,240,220,25941515,8830976
dp,gift_of_the_magi,raven,240,220,1242291,3788800
dpopt,gift_of_the_magi,raven,240,220,987436,3592192
memo,gift_of_the_magi,raven,240,230,26281160,9093120
dp,gift_of_the_magi,raven,240,230,1269873,3788800
dpopt,gift_of_the_magi,raven,240,230,1003225,3592192
memo,gift_of_the_magi,raven,240,240,28049340,9355264
dp,gift_of_the_magi,raven,240,240,1313844,3788800
dpopt,gift_of_the_magi,raven,240,240,1022064,3592192
memo,gift_of_the_magi,raven,240,250,29310411,9879552
dp,gift_of_the_magi,raven,240,250,1441180,3788800
dpopt,gift_of_the_magi,raven,240,250,1153469,3592192
memo,gift_of_the_magi,raven,240,260,32333774,10141696
dp,gift_of_the_magi,raven,240,260,1501859,3788800
dpopt,gift_of_the_magi,raven,240,260,1145165,3592192
memo,gift_of_the_magi,raven,240,270,31813792,10272768
dp,gift_of_the_magi,raven,240,270,1446484,3788800
dpopt,gift_of_the_magi,raven,240,270,1162366,3592192
memo,gift_of_the_magi,raven,240,280,34182447,10665984
dp,gift_of_the_magi,raven,240,280,1548468,3788800
dpopt,gift_of_the_magi,raven,240,280,1184558,3592192
memo,gift_of_the_magi,raven,240,290,34490194,10928128
dp,gift_of_the_magi,raven,240,290,1616970,3788800
dpopt,gift_of_the_magi,raven,240,290,1240722,3592192
memo,gift_of_the_magi,raven,240,300,35165146,11190272
dp,gift_of_the_magi,raven,240,300,1635243,3788800
dpopt,gift_of_the_magi,raven,240,300,1255662,3592192
memo,gift_of_the_magi,raven,250,10,1069567,3981312
dp,gift_of_the_magi,raven,250,10,182972,3592192
dpopt,gift_of_the_magi,raven,250,10,166677,3592192
memo,gift_of_the_magi,raven,250,20,2047568,3981312
dp,gift_of_the_magi,raven,250,20,177915,3592192
dpopt,gift_of_the_magi,raven,250,20,213814,3592192
memo,gift_of_the_magi,raven,250,30,3290573,4247552
dp,gift_of_the_magi,raven,250,30,338210,3596288
dpopt,gift_of_the_magi,raven,250,30,265037,3596288
memo,gift_of_the_magi,raven,250,40,5929866,4378624
dp,gift_of_the_magi,raven,250,40,307642,3661824
dpopt,gift_of_the_magi,raven,250,40,316990,3596288
memo,gift_of_the_magi,raven,250,50,6193414,4640768
dp,gift_of_the_magi,raven,250,50,422192,3661824
dpopt,gift_of_the_magi,raven,250,50,333148,3596288
memo,gift_of_the_magi,raven,250,60,7012415,4902912
dp,gift_of_the_magi,raven,250,60,461741,3661824
dpopt,gift_of_the_magi,raven,250,60,425292,3596288
memo,gift_of_the_magi,raven,250,70,8857295,5165056
dp,gift_of_the_magi,raven,250,70,464467,3661824
dpopt,gift_of_the_magi,raven,250,70,479012,3596288
memo,gift_of_the_magi,raven,250,80,9984996,5427200
dp,gift_of_the_magi,raven,250,80,514542,3661824
dpopt,gift_of_the_magi,raven,250,80,456838,3596288
memo,gift_of_the_magi,raven,250,90,10584591,5558272
dp,gift_of_the_magi,raven,250,90,590233,3661824
dpopt,gift_of_the_magi,raven,250,90,526641,3596288
memo,gift_of_the_magi,raven,250,100,11513219,5820416
dp,gift_of_the_magi,raven,250,100,653582,3661824
dpopt,gift_of_the_magi,raven,250,100,560015,3596288
memo,gift_of_the_magi,raven,250,110,12524429,6082560
dp,gift_of_the_magi,raven,250,110,701448,3661824
dpopt,gift_of_the_magi,raven,250,110,658351,3596288
memo,gift_of_the_magi,raven,250,120,14373425,6344704
dp,gift_of_the_magi,raven,250,120,764018,3661824
dpopt,gift_of_the_magi,raven,250,120,677526,3596288
memo,gift_of_the_magi,raven,250,130,18205294,6610944
dp,gift_of_the_magi,raven,250,130,869070,3665920
dpopt,gift_of_the_magi,raven,250,130,712757,3600384
memo,gift_of_the_magi,raven,250,140,18275124,6873088
dp,gift_of_the_magi,raven,250,140,861859,3665920
dpopt,gift_of_the_magi,raven,250,140,753541,3600384
memo,gift_of_the_magi,raven,250,150,19133626,7266304
dp,gift_of_the_magi,raven,250,150,902988,3665920
dpopt,gift_of_the_magi,raven,250,150,748386,3600384
memo,gift_of_the_magi,raven,250,160,19982238,7528448
dp,gift_of_the_magi,raven,250,160,1004735,3796992
dpopt,gift_of_the_magi,raven,250,160,833188,3600384
memo,gift_of_the_magi,raven,250,170,20540007,7790592
dp,gift_of_the_magi,raven,250,170,1016789,3796992
dpopt,gift_of_the_magi,raven,250,170,821213,3600384
memo,gift_of_the_magi,raven,250,180,21339023,8052736
dp,gift_of_the_magi,raven,250,180,1098438,3796992
dpopt,gift_of_the_magi,raven,250,180,864674,3600384
memo,gift_of_the_magi,raven,250,190,26489997,8445952
dp,gift_of_the_magi,raven,250,190,1181993,3796992
dpopt,gift_of_the_magi,raven,250,190,964071,3600384
memo,gift_of_the_magi,raven,250,200,25488891,8577024
dp,gift_of_the_magi,raven,250,200,1200080,3796992
dpopt,gift_of_the_magi,raven,250,200,1008841,3600384
memo,gift_of_the_magi,raven,250,210,25246238,8839168
dp,gift_of_the_magi,raven,250,210,1221789,3796992
dpopt,gift_of_the_magi,raven,250,210,993730,3600384
memo,gift_of_the_magi,raven,250,220,26002389,9101312
dp,gift_of_the_magi,raven,250,220,1471108,3796992
dpopt,gift_of_the_magi,raven,250,220,1063792,3600384
memo,gift_of_the_magi,raven,250,230,28455660,9363456
dp,gift_of_the_magi,raven,250,230,1333253,3796992
dpopt,gift_of_the_magi,raven,250,230,1041353,3600384
memo,gift_of_the_magi,raven,250,240,27964240,9760768
dp,gift_of_the_magi,raven,250,240,1441823,3801088
